trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
90,False,"{'a': 0.9, 'e': 0.3079950525216443}",25,0,-59.42585107970364,"{0: 19, 1: 1, 2: 4, 3: 0, 4: 1}",0
91,False,"{'a': 0.9, 'e': 0.3039911168388629}",25,12,17.23469020247059,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
92,False,"{'a': 0.9, 'e': 0.30003923231995766}",35,13,-14.12871974761699,"{0: 20, 1: 1, 2: 0, 3: 0, 4: 1}",1
93,False,"{'a': 0.9, 'e': 0.2961387222997982}",25,10,-13.91261019046879,"{0: 11, 1: 1, 2: 3, 3: 0, 4: 0}",1
94,False,"{'a': 0.9, 'e': 0.29228891890990083}",20,0,-20.884846013543992,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",0
95,False,"{'a': 0.9, 'e': 0.2884891629640721}",35,17,2.8742926285095196,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 0}",1
96,False,"{'a': 0.9, 'e': 0.2847388038455392}",20,11,-27.306646104838073,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 1}",1
97,False,"{'a': 0.9, 'e': 0.28103719939554717}",20,7,-2.195297774732163,"{0: 10, 1: 3, 2: 0, 3: 0, 4: 0}",1
98,False,"{'a': 0.9, 'e': 0.27738371580340504}",25,11,-26.227505685710927,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 1}",1
99,False,"{'a': 0.9, 'e': 0.27377772749796075}",20,0,-53.57789744523678,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
100,False,"{'a': 0.9, 'e': 0.2702186170404873}",25,0,-32.58309862278872,"{0: 21, 1: 2, 2: 1, 3: 0, 4: 1}",0
101,False,"{'a': 0.9, 'e': 0.2667057750189609}",25,0,-17.429030766945182,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 1}",0
102,False,"{'a': 0.9, 'e': 0.2632385999437144}",20,2,-27.602807466899222,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 1}",1
103,False,"{'a': 0.9, 'e': 0.25981649814444613}",25,3,-34.67747026828709,"{0: 18, 1: 2, 2: 1, 3: 0, 4: 1}",1
104,False,"{'a': 0.9, 'e': 0.2564388836685683}",20,0,-25.07444350563008,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
105,False,"{'a': 0.9, 'e': 0.2531051781808769}",20,9,5.906218179660892,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
106,False,"{'a': 0.9, 'e': 0.2498148108645255}",30,0,34.23934241483692,"{0: 29, 1: 0, 2: 1, 3: 0, 4: 0}",0
107,False,"{'a': 0.9, 'e': 0.24656721832328668}",20,14,11.223514032055345,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
108,False,"{'a': 0.9, 'e': 0.24336184448508394}",25,13,-1.0614914590563704,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 0}",1
109,False,"{'a': 0.9, 'e': 0.24019814050677785}",20,12,8.865687189692181,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
110,False,"{'a': 0.9, 'e': 0.23707556468018973}",30,5,12.938472519996317,"{0: 22, 1: 2, 2: 1, 3: 0, 4: 0}",1
111,False,"{'a': 0.9, 'e': 0.23399358233934725}",20,5,15.611864336502586,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 0}",1
112,False,"{'a': 0.9, 'e': 0.23095166576893572}",20,6,11.731164020893939,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
113,False,"{'a': 0.9, 'e': 0.22794929411393955}",30,16,22.906823679845978,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
114,False,"{'a': 0.9, 'e': 0.22498595329045834}",30,14,0.2368062642944886,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 0}",1
115,False,"{'a': 0.9, 'e': 0.22206113589768237}",20,7,-22.196546046273944,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 1}",1
116,False,"{'a': 0.9, 'e': 0.2191743411310125}",20,10,6.786379331591187,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
